circHIPK3	BCRC-2	circR-284	hsa_circRNA_100782	hsa_circ_000016	hsa_circ_0000284
hsa_circ_0008887	hsa_circRNA_100783				
hsa_circ_0023903	hsa_circRNA_100914				
hsa_circ_0023918	hsa_circRNA_100918				
hsa_circ_0002019	hsa_circRNA_100984				
hsa_circ_0005043	hsa_circRNA_101178				
hsa_circ_0029601	hsa_circRNA_101222				
hsa_circ_0000497	hsa_circRNA_101280	hsa_circ_000839			
hsa_circ_0031027	hsa_circRNA_101308				
hsa_circ_0004846	hsa_circRNA_101356				
hsa_circ_0032683	hsa_circRNA_101407				
hsa_circ_0032832	hsa_circRNA_101419				
hsa_circ_0035381	hsa_circRNA_101525				
hsa_circ_0005402	hsa_circRNA_101539				
hsa_circ_0035560	hsa_circRNA_101541				
hsa_circ_0036763	hsa_circRNA_101645				
hsa_circ_0002078	hsa_circRNA_101720				
hsa_circ_0040039	hsa_circRNA_101852				
hsa_circ_0004315	hsa_circRNA_101873				
hsa_circ_0004519	hsa_circRNA_101877				
hsa_circ_0041019	hsa_circRNA_101914				
hsa_circ_0000732	hsa_circRNA_101939	hsa_circ_000220			
hsa_circ_0004018	hsa_circRNA_101940				
hsa_circ_0008310	hsa_circRNA_101975				
hsa_circ_0000745	hsa_circRNA_101996				
hsa_circ_0003505	hsa_circRNA_102002				
hsa_circ_0045714	hsa_circRNA_102195				
hsa_circ_0006186	hsa_circRNA_102533				
hsa_circ_0052012	hsa_circRNA_102594				
hsa_circ_0005442	hsa_circRNA_102682				
hsa_circ_0054971	hsa_circRNA_102746				
hsa_circ_0058058	hsa_circRNA_102913				
hsa_circ_0060144	hsa_circRNA_103047				
hsa_circ_0004771	hsa_circRNA_103110				
hsa_circ_0064557	hsa_circRNA_103307				
hsa_circ_0064996	hsa_circRNA_103334				
hsa_circ_0005870	hsa_circRNA_103339				
hsa_circ_0002569	hsa_circRNA_103343				
hsa_circ_0065932	hsa_circRNA_103387				
hsa_circ_0003266	hsa_circRNA_103410 				
hsa_circ_0067103	hsa_circRNA_103454				
hsa_circ_0067934	hsa_circRNA_103510				
hsa_circ_0000911	hsa_circRNA_103584	hsa_circ_000268			
hsa_circ_0001410	hsa_circRNA_103636				
hsa_circ_0007380	hsa_circRNA_103783				
hsa_circ_0008621	hsa_circRNA_103827				
hsa_circ_0005105	hsa_circRNA_103944				
hsa_circ_0006528	hsa_circRNA_103980				
hsa_circ_0075736	hsa_circRNA_104075				
hsa_circ_0075825	hsa_circRNA_104081				
hsa_circ_0075828	hsa_circRNA_104083				
hsa_circ_0075829	hsa_circRNA_104084				
hsa_circ_0004136	hsa_circRNA_104134				
hsa_circ_0001633	hsa_circRNA_104169				
hsa_circ_0004712	hsa_circRNA_104194				
hsa_circ_0001649	hsa_circRNA_104206	hsa_circ_001599			
hsa_circ_0078738	hsa_circRNA_104268				
hsa_circ_0079891	hsa_circRNA_104348				
hsa_circ_0080425	hsa_circRNA_104387 				
hsa_circ_0001721	hsa_circRNA_104423	hsa_circ_000457			
hsa_circ_0081342	hsa_circRNA_104433				
hsa_circ_0002111	hsa_circRNA_104565				
hsa_circ_0004458	hsa_circRNA_104566				
hsa_circ_0083964	hsa_circRNA_104593				
hsa_circ_0008016	hsa_circRNA_104595				
hsa_circ_0006022	hsa_circRNA_104627				
hsa_circ_0001824	hsa_circRNA_104689	hsa_circ_001608			
hsa_circ_0008305	hsa_circRNA_104703				
hsa_circ_0087493	hsa_circRNA_104816				
hsa_circ_0005218	hsa_circRNA_104820				
hsa_circ_0001875	hsa_circRNA_104821	hsa_circ_001209			
hsa_circ_0088036	hsa_circRNA_104871				
hsa_circ_0001895	hsa_circRNA_104945	hsa_circ_000760			
hsa_circ_0089974	hsa_circRNA_104983				
hsa_circ_0091894	hsa_circRNA_105038				
hsa_circ_0092315	hsa_circRNA_400064				
hsa_circ_0092330	hsa_circRNA_400066				
hsa_circ_0092283	hsa_circRNA_400071				
hsa_circRNA_404457					
hsa_circRNA_405198					
hsa_circRNA_405679					
hsa_circRNA_406697					
hsa_circRNA_406918					
hsa_circRNA5974-1					
hsa-circRNA11783-2					
hsa-circRNA7690-15					
